week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score,max_future_prob,future_depth_ge55,future_depth_ge60
16,2025-12-21,CIN,MIA,Away,8:20 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.396,0.8039,1,1
17,2025-12-28,CIN,ARI,Home,1:00 PM,7,False,False,False,Low,0.3846,,,False,False,False,,0.3577,0.8039,1,1
18,2026-01-04,CIN,CLE,Home,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6931,0.0,0,0
1,2025-09-07,CLE,CIN,Home,1:00 PM,7,False,False,False,Low,0.2381,,,False,False,False,,0.2405,0.8387,8,6
2,2025-09-14,CLE,BAL,Away,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6431,0.8387,7,5
3,2025-09-21,CLE,GB,Home,1:00 PM,7,False,False,False,Low,0.3175,,,False,False,False,,0.304,0.8387,7,5
4,2025-09-28,CLE,DET,Away,1:00 PM,7,False,False,False,Medium,0.8387,,,False,False,False,,0.671,0.8039,6,4
5,2025-10-05,CLE,MIN,Home,9:30 AM,7,False,False,False,Low,0.2703,,,False,False,False,,0.2662,0.8039,6,4
6,2025-10-12,CLE,PIT,Away,1:00 PM,7,False,False,False,Low,0.4673,,,False,False,False,,0.3238,0.8039,6,4
7,2025-10-19,CLE,MIA,Home,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.8039,6,4
8,2025-10-26,CLE,NE,Away,1:00 PM,7,False,False,False,Medium,0.7041,,,False,False,False,,0.5633,0.8039,5,3
10,2025-11-09,CLE,NYJ,Away,1:00 PM,14,False,False,False,Low,0.5868,,,False,False,False,,0.4694,0.8039,4,3
11,2025-11-16,CLE,BAL,Home,4:25 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6931,0.798,3,2
12,2025-11-23,CLE,LV,Away,4:05 PM,7,False,False,False,Medium,0.6491,,,False,False,False,,0.5193,0.798,2,1
13,2025-11-30,CLE,SF,Home,1:00 PM,7,False,False,False,Low,0.3226,,,False,False,False,,0.3081,0.798,2,1
14,2025-12-07,CLE,TEN,Home,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.798,1,1
15,2025-12-14,CLE,CHI,Away,1:00 PM,7,False,False,False,Low,0.2857,,,False,False,False,,0.2286,0.798,1,1
16,2025-12-21,CLE,BUF,Home,1:00 PM,7,False,False,False,Medium,0.798,,,False,False,False,,0.6884,0.4673,0,0
17,2025-12-28,CLE,PIT,Home,1:00 PM,7,False,False,False,Low,0.4673,,,False,False,False,,0.4238,0.2381,0,0
18,2026-01-04,CLE,CIN,Away,1:00 PM,7,False,False,False,Low,0.2381,,,False,False,False,,0.1905,0.0,0,0
1,2025-09-04,DAL,PHI,Away,8:20 PM,7,False,False,False,Low,0.3571,,,False,False,False,,0.2857,0.726,5,4
2,2025-09-14,DAL,NYG,Home,1:00 PM,10,False,False,False,Low,0.495,,,False,False,False,,0.446,0.726,5,4
3,2025-09-21,DAL,CHI,Away,4:25 PM,7,False,False,False,Low,0.4167,,,False,False,False,,0.3334,0.726,5,4
4,2025-09-28,DAL,GB,Home,8:20 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.726,5,4
5,2025-10-05,DAL,NYJ,Away,1:00 PM,7,False,False,False,Low,0.4545,,,False,False,False,,0.3636,0.726,5,4
6,2025-10-12,DAL,CAR,Away,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.726,4,4
7,2025-10-19,DAL,WSH,Home,4:25 PM,7,False,False,False,Medium,0.6644,,,False,False,False,,0.5815,0.726,3,3
8,2025-10-26,DAL,DEN,Away,4:25 PM,7,False,False,False,Medium,0.6855,,,False,False,False,,0.5484,0.726,2,2
9,2025-11-03,DAL,ARI,Home,8:15 PM,8,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.726,2,2
11,2025-11-17,DAL,LV,Away,8:15 PM,14,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.726,2,2
12,2025-11-23,DAL,PHI,Home,4:25 PM,6,False,False,False,Low,0.3571,,,False,False,False,,0.3357,0.726,2,2
13,2025-11-27,DAL,KC,Home,4:30 PM,4,False,False,False,Low,0.3279,,,False,False,False,,0.3123,0.726,2,2
14,2025-12-04,DAL,DET,Away,8:15 PM,7,False,False,False,Medium,0.726,,,False,False,False,,0.5808,0.6644,1,1
15,2025-12-14,DAL,MIN,Home,8:20 PM,10,False,False,False,Low,0.495,,,False,False,False,,0.446,0.6644,1,1
16,2025-12-21,DAL,LAC,Home,1:00 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.446,0.6644,1,1
