week,team,opponent,home_or_away,projected_win_prob,spot_value,spot_value_score
4,CHI,LV,Away,0.5260865852617197,Low,0.2623430709462724
4,GB,DAL,Away,0.5324675324675325,Low,0.2524972727881047
4,WSH,ATL,Away,0.5,Low,0.2433333333333333
4,TEN,HOU,Away,0.5,Low,0.2433333333333333
4,NYJ,MIA,Away,0.5,Low,0.2433333333333333
4,SEA,ARI,Away,0.5,Low,0.24008658008658
4,MIN,PIT,Away,0.5278969957081545,Low,0.2397708930320622
4,BAL,KC,Away,0.4721030042918455,Low,0.2049538893540103
4,CIN,DEN,Away,0.4365079365079364,Low,0.1948522987210788
4,CAR,NE,Away,0.3775334481388264,Low,0.1572265014567369
4,JAX,SF,Away,0.3249687530045188,Low,0.1246896309522473
4,IND,LAR,Away,0.2779207411219763,Low,0.0988004807351379
4,CLE,DET,Away,0.1957070707070707,Low,0.0611767063348102
4,NO,BUF,Away,0.1629006831318969,Low,0.0487007526950079
5,BAL,HOU,Home,0.7508125677139762,Medium,0.4898672976501856
5,ARI,TEN,Home,0.6750312469954812,Medium,0.4630517805889252
5,BUF,NE,Home,0.6574752261956054,Low,0.4449236434422696
5,PHI,DEN,Home,0.6574752261956054,Low,0.4406981439241245
5,MIN,CLE,Away,0.7388632872503841,Low,0.3911819840259445
5,IND,LV,Home,0.5324675324675325,Low,0.3747235354820106
5,LAC,WSH,Home,0.5,Low,0.3433171258779038
5,CAR,MIA,Home,0.4675324675324675,Low,0.3370878174723667
5,NO,NYG,Home,0.4675324675324675,Low,0.3364497227517855
5,SEA,TB,Home,0.4675324675324675,Low,0.3274498208124213
5,KC,JAX,Away,0.644729178800233,Low,0.3210821386153969
5,NYJ,DAL,Home,0.448558885283451,Low,0.3196869580276692
5,CIN,DET,Home,0.4739134147382802,Low,0.3171730580859854
5,LAR,SF,Home,0.4675324675324675,Low,0.3115058459500734
5,DAL,NYJ,Away,0.551441114716549,Low,0.2773837490430378
5,NYG,NO,Away,0.5324675324675325,Low,0.266970190668128
5,TB,SEA,Away,0.5324675324675325,Low,0.264361532141956
5,MIA,CAR,Away,0.5324675324675325,Low,0.2637234374213747
5,DET,CIN,Away,0.5260865852617197,Low,0.2597344124201005
5,JAX,KC,Home,0.355270821199767,Low,0.248536359335126
5,WSH,LAC,Away,0.5,Low,0.2433333333333333
5,NE,BUF,Away,0.5,Low,0.2333694561509131
5,SF,LAR,Away,0.5,Low,0.2242540450279265
5,LV,IND,Away,0.4675324675324675,Low,0.2196964759985387
5,CLE,MIN,Home,0.261136712749616,Low,0.207093817922314
5,TEN,ARI,Away,0.3249687530045188,Low,0.1246896309522473
5,DEN,PHI,Away,0.3425247738043946,Low,0.1121656175438464
5,HOU,BAL,Away,0.2491874322860238,Low,0.08456586647841
6,BAL,LAR,Home,0.6805555555555556,Medium,0.452947578604499
6,LV,TEN,Home,0.6092362344582594,Low,0.4284669950033963
6,GB,CIN,Home,0.593369754159424,Low,0.4049203544953456
6,KC,DET,Home,0.5829926410466066,Low,0.3946730748866597
6,DEN,NYJ,Away,0.729871952289072,Low,0.3896709998597655
6,PIT,CLE,Home,0.551441114716549,Low,0.3883838471036737
6,JAX,SEA,Home,0.5324675324675325,Low,0.3724972727881047
6,TB,SF,Home,0.5427435387673957,Low,0.3667061698262467
6,WSH,CHI,Home,0.5,Low,0.3633333333333333
6,CAR,DAL,Home,0.4675324675324675,Low,0.3370878174723667
6,BUF,ATL,Away,0.6750312469954812,Low,0.3353868252627759
6,IND,ARI,Home,0.4675324675324675,Low,0.3274498208124213
6,NE,NO,Away,0.5996387718242023,Low,0.3110177790476292
6,MIA,LAC,Home,0.4365079365079364,Low,0.298381668941844
6,NO,NE,Home,0.4003612281757977,Low,0.289155381125531
6,LAC,MIA,Away,0.5634920634920635,Low,0.2734581867998552
6,ARI,IND,Away,0.5324675324675325,Low,0.266970190668128
6,DAL,CAR,Away,0.5324675324675325,Low,0.2637234374213747
6,CLE,PIT,Away,0.5,Low,0.2433333333333333
6,CHI,WSH,Away,0.5,Low,0.2433333333333333
6,PHI,NYG,Away,0.5,Low,0.2333694561509131
6,ATL,BUF,Home,0.3249687530045188,Low,0.2283248185331011
6,SEA,JAX,Away,0.4675324675324675,Low,0.2164497227517854
6,NYJ,DEN,Home,0.2701280477109278,Low,0.2084725474142163
6,SF,TB,Away,0.4572564612326044,Low,0.193197892913334
6,DET,KC,Away,0.4170073589533933,Low,0.1811943032053696
6,NYG,PHI,Home,0.1918429003021148,Low,0.1763896503951053
6,CIN,GB,Away,0.4066302458405761,Low,0.1740563968737513
6,TEN,LV,Away,0.3907637655417407,Low,0.165953016477153
6,LAR,BAL,Away,0.3194444444444444,Low,0.1079866101142605
