week,team,opponent,date,time,home_or_away,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,rating_gap,injury_adjustment,future_scarcity_bonus,moneyline,opp_moneyline,implied_wp,spread,consensus_spread,circa_spread,circa_spread_price
7,DEN,NYG,,,,0.7477827050997783,,,,,,,-355.0,280.0,0.7477827050997783,-7.5,-7.5,,
7,DET,TB,,,,0.6369041816941223,,,,,,,-198.0,164.0,0.6369041816941223,-3.5,-3.5,,
7,GB,ARI,,,,0.5260865852617197,,,,,,,-122.0,102.0,0.5260865852617197,-1.5,-1.5,,
7,HOU,SEA,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
7,IND,LAC,,,,0.3092071169459319,,,,,,,210.0,-258.0,0.30920711694593195,6.0,6.0,,
7,JAX,LAR,,,,0.3650102459016394,,,,,,,168.0,-185.0,0.3650102459016394,3.5,3.5,,
7,KC,LV,,,,0.690792883054068,,,,,,,-258.0,210.0,0.690792883054068,-6.0,-6.0,,
7,LAC,IND,,,,0.690792883054068,,,,,,,-258.0,210.0,0.690792883054068,-6.0,-6.0,,
7,LAR,JAX,,,,0.6349897540983607,,,,,,,-185.0,168.0,0.6349897540983607,-3.5,-3.5,,
7,MIA,CLE,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
7,MIN,PHI,,,,0.4003612281757977,,,,,,,140.0,-166.0,0.4003612281757977,3.0,3.0,,
7,NE,TEN,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
7,NO,CHI,,,,0.2559309849029475,,,,,,,275.0,-345.0,0.2559309849029475,7.5,7.5,,
7,NYG,DEN,,,,0.2522172949002217,,,,,,,280.0,-355.0,0.2522172949002217,7.5,7.5,,
7,NYJ,CAR,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
7,PHI,MIN,,,,0.5996387718242023,,,,,,,-166.0,140.0,0.5996387718242023,-3.0,-3.0,,
7,SEA,HOU,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
7,SF,ATL,,,,0.7095435684647302,,,,,,,-285.0,230.0,0.7095435684647302,-6.5,-6.5,,
7,TB,DET,,,,0.3630958183058778,,,,,,,164.0,-198.0,0.3630958183058778,3.5,3.5,,
7,TEN,NE,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
