week,date,time,team,opponent,home_or_away,holiday_flag,rest_days,reserved,is_locked_out,expected_avail,preferred,must_use,save_for_later,notes_future,notes,spot_quality,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,moneyline,spread,implied_wp,power_rating,opp_power_rating,power_gap,rest_diff,travel_miles,rating_gap,injury_adjustment,future_scarcity_bonus,opp_moneyline,consensus_spread,circa_spread,circa_spread_price,team_total_dvoa,opp_total_dvoa,sv_win,sv_home,sv_rest,sv_rating,sv_dvoa,sv_injury,sv_holiday,max_future_prob,future_depth_ge55,opportunity_delta,od_norm,fd_norm,future_scarcity_boost_raw,future_scarcity_boost,sv_scarcity,OD_norm,FD_norm
15,2025-12-14 00:00:00,1:00 PM,BAL,CIN,Away,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.05,,0.0,0.0,0.0,0.7659021045164341,1,-0.2659021045164341,0.0,0.6666666666666667,0.12,0.1,0.1,0.0,0.6666666666666667
16,2025-12-21 00:00:00,1:00 PM,BAL,NE,Home,,7,False,False,True,False,False,False,,,,0.7659021045164341,,,,-395.0,-8.5,0.7659021045164341,,,,,,,0.0,,,,,,,,0.6776757883875406,0.1,0.05,,0.0,0.0,0.0,0.5324675324675325,0,0.2334345720489016,0.8668691440978032,1.0,0.12,0.1,0.1,0.8668691440978032,1.0
17,2025-12-28 00:00:00,1:00 PM,BAL,GB,Away,,7,False,False,True,False,False,False,,,,0.5324675324675325,,,,-125.0,-1.5,0.5324675324675325,,,,,,,0.0,,,,,,,,0.3381345926800473,0.0,0.05,,0.0,0.0,0.0,0.5,0,0.0324675324675325,0.4649350649350651,1.0,0.12,0.1,0.1,0.4649350649350651,1.0
18,2026-01-04 00:00:00,1:00 PM,BAL,PIT,Away,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.05,,0.0,0.0,0.0,0.0,0,0.5,1.0,1.0,0.12,0.1,0.1,1.0,1.0
1,2025-09-07 00:00:00,8:20 PM,BUF,BAL,Home,,7,False,False,True,False,False,False,,,,0.5240193918025562,,,,-116.0,-1.5,0.5240193918025562,,,,,,,0.0,,,,,,,,0.3258463880764454,0.1,0.05,,0.0,0.0,0.0,0.8370993168681029,12,-0.3130799250655467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-09-14 00:00:00,1:00 PM,BUF,NYJ,Away,,6,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.0333333333333333,,0.0,0.0,0.0,0.8370993168681029,12,-0.3370993168681029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-09-18 00:00:00,8:15 PM,BUF,MIA,Home,,4,False,False,True,False,False,False,,,,0.6805555555555556,,,,-245.0,-5.5,0.6805555555555556,,,,,,,0.0,,,,,,,,0.5535353535353535,0.1,0.0,,0.0,0.0,0.0,0.8370993168681029,11,-0.1565437613125473,0.0869124773749053,0.0,0.0521474864249432,0.0434562386874526,0.0434562386874526,0.0869124773749053,0.0
4,2025-09-28 00:00:00,1:00 PM,BUF,NO,Home,,9,False,False,True,False,False,False,,,,0.8370993168681029,,,,-675.0,-12.5,0.8370993168681029,,,,,,,0.0,,,,,,,,0.7812353699899678,0.1,0.0833333333333333,,0.0,0.0,0.0,0.7659021045164341,10,0.0711972123516687,0.5423944247033375,0.0,0.12,0.1,0.1,0.5423944247033375,0.0
5,2025-10-05 00:00:00,8:20 PM,BUF,NE,Home,,7,False,False,True,False,False,False,,,,0.6574752261956054,,,,-218.0,-4.5,0.6574752261956054,,,,,,,0.0,,,,,,,,0.519963965375426,0.1,0.05,,0.0,0.0,0.0,0.7659021045164341,9,-0.1084268783208287,0.1831462433583425,0.0,0.1098877460150055,0.0915731216791712,0.0915731216791712,0.1831462433583425,0.0
6,2025-10-13 00:00:00,7:15 PM,BUF,ATL,Away,,7,False,False,True,False,False,False,,,,0.6750312469954812,,,,-238.0,-5.5,0.6750312469954812,,,,,,,0.0,,,,,,,,0.5454999956297909,0.0,0.05,,0.0,0.0,0.0,0.7659021045164341,8,-0.0908708575209529,0.2182582849580941,0.0,0.12,0.1,0.1,0.2182582849580941,0.0
8,2025-10-26 00:00:00,1:00 PM,BUF,CAR,Away,,12,False,False,True,False,False,False,,,,0.7335423197492164,,,,-325.0,-7.0,0.7335423197492164,,,,,,,0.0,,,,,,,,0.6306070105443147,0.0,0.1,,0.0,0.0,0.0,0.7659021045164341,7,-0.0323597847672177,0.3352804304655644,0.0,0.12,0.1,0.1,0.3352804304655644,0.0
9,2025-11-02 00:00:00,4:25 PM,BUF,KC,Home,,7,False,False,True,False,False,False,,,,0.5720596355604638,,,,-148.0,-2.5,0.5720596355604638,,,,,,,0.0,,,,,,,,0.3957231062697655,0.1,0.05,,0.0,0.0,0.0,0.7659021045164341,6,-0.1938424689559703,0.0123150620880593,0.0,0.0073890372528355,0.0061575310440296,0.0061575310440296,0.0123150620880593,0.0
10,2025-11-09 00:00:00,1:00 PM,BUF,MIA,Away,,6,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.0333333333333333,,0.0,0.0,0.0,0.7659021045164341,6,-0.2659021045164341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
