week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
5,2025-10-05,TEN,ARI,Away,4:05 PM,7,,,,Low,0.339,,,,,,,0.3561
5,2025-10-05,WSH,LAC,Away,4:25 PM,7,,,,Low,0.4878,,,,,,,0.3944
6,2025-10-12,ARI,IND,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4234
6,2025-10-13,ATL,BUF,Home,7:15 PM,15,,,,Low,0.3333,,,,,,,0.4274
6,2025-10-12,BAL,LAR,Home,1:00 PM,7,,,,Medium,0.7143,,,,,,,0.6946
6,2025-10-13,BUF,ATL,Away,7:15 PM,8,,,,Medium,0.7101,,,,,,,0.5789
6,2025-10-12,CAR,DAL,Home,1:00 PM,7,,,,Low,0.4878,,,,,,,0.484
6,2025-10-13,CHI,WSH,Away,8:15 PM,15,,,,Medium,0.6721,,,,,,,0.6371
6,2025-10-12,CIN,GB,Away,4:25 PM,7,,,,Low,0.6183,,,,,,,0.4809
6,2025-10-12,CLE,PIT,Away,1:00 PM,7,,,,Low,0.4673,,,,,,,0.4164
6,2025-10-12,DAL,CAR,Away,1:00 PM,7,,,,Low,0.5556,,,,,,,0.4882
6,2025-10-12,DEN,NYJ,Away,9:30 AM,7,,,,Low,0.2985,,,,,,,0.2951
6,2025-10-12,DET,KC,Away,8:20 PM,7,,,,Medium,0.6078,,,,,,,0.5276
6,2025-10-12,GB,CIN,Home,4:25 PM,14,,,,Low,0.4237,,,,,,,0.4753
6,2025-10-12,IND,ARI,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.5276
6,2025-10-12,JAX,SEA,Home,1:00 PM,6,,,,Medium,0.5556,,,,,,,0.5357
6,2025-10-12,KC,DET,Home,8:20 PM,6,,,,Low,0.4348,,,,,,,0.4392
6,2025-10-12,LAC,MIA,Away,1:00 PM,7,,,,Low,0.4545,,,,,,,0.4095
6,2025-10-12,LAR,BAL,Away,1:00 PM,10,,,,Low,0.3279,,,,,,,0.3355
6,2025-10-12,LV,TEN,Home,4:05 PM,7,,,,Medium,0.6296,,,,,,,0.5829
6,2025-10-12,MIA,LAC,Home,1:00 PM,7,,,,Medium,0.5868,,,,,,,0.5653
6,2025-10-12,NE,NO,Away,4:25 PM,7,,,,Low,0.4167,,,,,,,0.3728
6,2025-10-12,NO,NE,Home,4:25 PM,7,,,,Medium,0.6241,,,,,,,0.5887
6,2025-10-09,NYG,PHI,Home,8:15 PM,4,,,,High,0.8425,,,,,,,0.8107
6,2025-10-12,NYJ,DEN,Home,9:30 AM,7,,,,High,0.7436,,,,,,,0.7012
6,2025-10-09,PHI,NYG,Away,8:15 PM,4,,,,Low,0.2,,,,,,,0.2467
6,2025-10-12,PIT,CLE,Home,1:00 PM,14,,,,Medium,0.5745,,,,,,,0.6522
6,2025-10-12,SEA,JAX,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4314
6,2025-10-12,SF,TB,Away,1:00 PM,10,,,,Low,0.5652,,,,,,,0.4595
6,2025-10-12,TB,SF,Home,1:00 PM,7,,,,Low,0.4762,,,,,,,0.4383
6,2025-10-12,TEN,LV,Away,4:05 PM,7,,,,Low,0.4132,,,,,,,0.3598
6,2025-10-13,WSH,CHI,Home,8:15 PM,8,,,,Low,0.3704,,,,,,,0.3458
7,2025-10-19,ARI,GB,Home,4:25 PM,7,,,,Low,0.495,,,,,,,0.4788
7,2025-10-19,ATL,SF,Away,8:20 PM,6,,,,Medium,0.7403,,,,,,,0.6217
7,2025-10-19,CAR,NYJ,Away,1:00 PM,7,,,,Low,0.5556,,,,,,,0.4886
7,2025-10-19,CHI,NO,Home,1:00 PM,6,,,,Medium,0.7753,,,,,,,0.6764
7,2025-10-16,CIN,PIT,Home,8:15 PM,4,,,,Low,0.4878,,,,,,,0.4436
7,2025-10-19,CLE,MIA,Home,1:00 PM,7,,,,Medium,0.4878,,,,,,,0.5012
7,2025-10-19,DAL,WSH,Home,4:25 PM,7,,,,Medium,0.6644,,,,,,,0.6288
7,2025-10-19,DEN,NYG,Home,4:05 PM,7,,,,High,0.7727,,,,,,,0.745
7,2025-10-20,DET,TB,Home,7:00 PM,8,,,,Medium,0.6644,,,,,,,0.6333
7,2025-10-19,GB,ARI,Away,4:25 PM,7,,,,Low,0.5495,,,,,,,0.4724
7,2025-10-20,HOU,SEA,Away,10:00 PM,15,,,,Medium,0.5556,,,,,,,0.5024
7,2025-10-19,IND,LAC,Away,4:05 PM,7,,,,Medium,0.7207,,,,,,,0.6172
7,2025-10-19,JAX,LAR,Home,9:30 AM,7,,,,Low,0.3937,,,,,,,0.4116
7,2025-10-19,KC,LV,Home,1:00 PM,7,,,,Low,0.3226,,,,,,,0.3773
7,2025-10-19,LAC,IND,Home,4:05 PM,7,,,,Low,0.3226,,,,,,,0.3487
7,2025-10-19,LAR,JAX,Away,9:30 AM,7,,,,Medium,0.6491,,,,,,,0.566
7,2025-10-19,LV,KC,Away,1:00 PM,7,,,,Medium,0.7207,,,,,,,0.6458
7,2025-10-19,MIA,CLE,Away,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.5055
7,2025-10-19,MIN,PHI,Home,1:00 PM,14,,,,Low,0.4167,,,,,,,0.3956
7,2025-10-19,NE,TEN,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.3997
7,2025-10-19,NO,CHI,Away,1:00 PM,7,,,,Low,0.2667,,,,,,,0.2195
7,2025-10-19,NYG,DEN,Away,4:05 PM,10,,,,Low,0.2703,,,,,,,0.2931
