week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
2,2025-09-14,DET,CHI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-22,DET,BAL,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,DET,CLE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,DET,CIN,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,DET,KC,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-20,DET,TB,Home,7:00 PM,0,False,False,False,,,,,False,False,False,,
8,,DET,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,DET,MIN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,DET,WSH,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,DET,PHI,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,DET,NYG,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,DET,GB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-04,DET,DAL,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,DET,LAR,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,DET,PIT,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-25,DET,MIN,Away,4:30 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,DET,CHI,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,GB,DET,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-11,GB,WSH,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,GB,CLE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,GB,DAL,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
5,,GB,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,GB,CIN,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,GB,ARI,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,GB,PIT,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,GB,CAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-10,GB,PHI,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,GB,NYG,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,GB,MIN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,GB,DET,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,GB,CHI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,GB,DEN,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-20,GB,CHI,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,GB,BAL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,GB,MIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,HOU,LAR,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-15,HOU,TB,Home,7:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,HOU,JAX,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,HOU,TEN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,HOU,BAL,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,,HOU,BYE,Home,,0,False,False,False,,,,,False,False,False,,
7,2025-10-20,HOU,SEA,Away,10:00 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,HOU,SF,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,HOU,DEN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,HOU,JAX,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,HOU,TEN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-20,HOU,BUF,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,HOU,IND,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,HOU,KC,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,HOU,ARI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,HOU,LV,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
